ClassID,Packet,Delay (ms)
0,1,0.012
0,2,0.012
0,2,5.3500000000000005
0,1,5.3500000000000005
0,3,4.908
0,3,4.908
0,2,4.908
1,4,0.0
0,3,7.692
3,4,0.0
1,5,0.052000000000000005
2,4,0.0
3,5,0.06
1,6,1.605
2,5,0.057
1,7,0.106
3,6,0.066
2,6,1.024
1,8,0.859
3,7,0.059000000000000004
2,7,1.342
1,9,0.358
3,8,0.073
2,8,1.843
1,10,0.617
3,9,0.017
2,9,1.572
1,11,0.84
2,10,1.258
3,10,0.019
1,12,1.03
3,11,0.022
2,11,1.538
1,13,1.332
3,12,0.35100000000000003
2,12,1.348
1,14,1.214
3,13,0.36
2,13,1.301
1,15,1.294
3,14,1.065
2,14,1.084
1,16,1.314
3,15,1.3880000000000001
2,15,1.344
1,17,1.076
3,16,1.47
2,16,1.268
1,18,1.034
3,17,1.795
2,17,2.2
1,19,0.792
3,18,1.213
2,18,1.178
1,20,0.023
3,19,0.023
2,19,0.028
1,21,0.026000000000000002
3,20,0.168
2,20,0.9560000000000001
1,22,0.056
2,21,0.012
3,21,0.053
1,23,0.078
3,22,0.02
2,22,1.6300000000000001
1,24,0.308
3,23,0.724
2,23,1.465
2,24,0.981
1,25,0.161
3,24,0.586
2,25,2.125
1,26,0.022
3,25,0.19
3,26,0.019
1,27,0.024
2,26,1.921
1,28,0.02
3,27,1.2690000000000001
2,27,0.5700000000000001
1,29,0.644
3,28,1.408
2,28,1.061
1,30,0.41600000000000004
3,29,1.1520000000000001
2,29,0.995
1,31,0.6940000000000001
3,30,1.495
2,30,1.314
1,32,1.544
2,31,2.799
3,31,1.462
1,33,1.907
3,32,1.1480000000000001
2,32,2.862
1,34,1.48
2,33,1.643
3,33,1.891
1,35,2.184
2,34,2.609
3,34,1.717
1,36,1.147
2,35,2.548
3,35,2.083
1,37,1.5250000000000001
2,36,3.14
3,36,2.727
1,38,2.229
2,37,3.786
3,37,1.956
1,39,2.282
2,38,2.457
3,38,1.8760000000000001
1,40,1.903
2,39,3.043
3,39,2.132
1,41,2.291
2,40,3.499
3,40,2.45
2,41,3.499
1,42,2.8850000000000002
3,41,3.009
2,42,4.442
1,43,2.774
3,42,3.217
2,43,4.442
3,43,3.076
1,44,3.248
2,44,4.496
1,45,2.072
3,44,3.035
1,46,2.955
2,45,4.604
3,45,3.2680000000000002
2,46,4.934
1,47,4.1770000000000005
3,46,2.867
2,47,4.711
3,47,3.231
1,48,3.1670000000000003
2,48,5.175
1,49,2.976
3,48,3.79
2,49,5.3100000000000005
1,50,3.111
3,49,3.112
2,50,4.737
1,51,3.236
3,50,3.1310000000000002
2,51,4.689
1,52,3.277
3,51,3.125
1,53,3.277
3,52,3.125
2,52,6.105
1,54,3.404
3,53,2.6430000000000002
2,53,1.963
1,55,2.9130000000000003
3,54,3.431
2,54,3.309
3,55,3.986
1,56,3.136
2,55,3.86
1,57,2.222
2,56,3.267
3,56,3.935
1,58,2.623
2,57,3.545
3,57,2.7
1,59,2.935
2,58,3.959
3,58,3.047
1,60,3.5740000000000003
2,59,4.04
3,59,3.182
1,61,3.469
2,60,4.022
3,60,3.217
2,61,4.022
3,61,3.476
1,62,3.714
2,62,4.343
1,63,2.494
3,62,3.79
1,64,3.54
2,63,5.514
3,63,3.475
2,64,5.514
3,64,3.133
1,65,4.32
2,65,4.0600000000000005
1,66,2.6670000000000003
3,65,3.985
1,67,3.1990000000000003
2,66,4.555
3,66,2.571
2,67,3.988
1,68,4.375
3,67,2.494
2,68,4.141
1,69,3.42
3,68,2.628
2,69,3.9570000000000003
1,70,3.496
3,69,2.673
2,70,4.355
3,70,2.562
1,71,3.895
2,71,3.468
1,72,1.684
3,71,2.807
2,72,4.234
1,73,3.251
3,72,2.548
2,73,4.274
1,74,3.074
3,73,2.548
2,74,4.143
1,75,3.908
3,74,3.108
2,75,4.083
3,75,2.955
1,76,2.088
2,76,4.191
3,76,3.725
1,77,1.814
2,77,3.936
3,77,3.34
1,78,1.715
2,78,4.199
1,79,3.136
3,78,3.383
2,79,4.199
1,80,2.439
3,79,2.869
2,80,4.141
3,80,3.338
1,81,3.229
2,81,4.678
1,82,2.5340000000000003
3,81,3.692
2,82,4.801
1,83,2.968
3,82,3.4050000000000002
1,84,3.4330000000000003
2,83,5.441
3,83,3.636
2,84,5.441
1,85,3.924
3,84,3.539
2,85,4.3180000000000005
1,86,3.3200000000000003
3,85,3.468
2,86,5.497
1,87,3.067
3,86,3.2760000000000002
1,88,3.267
2,87,5.118
3,87,3.343
2,88,5.118
1,89,4.152
3,88,3.4410000000000003
2,89,4.223
1,90,3.339
3,89,3.1790000000000003
2,90,4.509
1,91,3.852
3,90,3.258
2,91,4.301
1,92,3.36
3,91,3.103
2,92,4.44
3,92,3.162
1,93,3.681
2,93,4.173
3,93,3.557
1,94,3.673
2,94,3.924
3,94,3.353
1,95,1.849
3,95,3.797
1,96,2.096
2,95,4.533
1,97,2.083
2,96,3.314
3,96,3.6270000000000002
1,98,3.227
2,97,3.873
3,97,3.093
2,98,3.873
1,99,3.69
3,98,3.431
2,99,4.266
3,99,3.645
1,100,3.473
2,100,5.462
1,101,3.15
3,100,4.2090000000000005
1,102,4.351
2,101,4.501
3,101,3.6430000000000002
1,103,2.403
2,102,3.698
3,102,2.74
1,104,3.176
2,103,3.978
3,103,3.077
1,105,3.605
2,104,3.978
3,104,3.303
2,105,4.78
1,106,5.184
3,105,3.74
2,106,4.127
1,107,2.348
3,106,2.991
2,107,4.063
3,107,3.184
1,108,2.299
2,108,3.121
3,108,2.178
1,109,0.769
2,109,3.549
3,109,2.497
1,110,1.954
2,110,3.549
3,110,2.719
1,111,1.7510000000000001
2,111,4.267
3,111,3.519
1,112,2.418
3,112,3.519
1,113,2.714
2,112,4.515
3,113,3.619
1,114,3.1870000000000003
2,113,3.935
3,114,4.6770000000000005
1,115,2.84
2,114,3.817
2,115,3.817
3,115,4.643
1,116,3.487
2,116,4.204
3,116,5.029
1,117,3.098
2,117,6.453
3,117,4.912
1,118,3.533
3,118,5.054
1,119,3.847
2,118,7.846
1,120,4.332
3,119,5.9
2,119,5.223
1,121,4.168
3,120,4.365
2,120,4.2940000000000005
1,122,4.007
3,121,4.277
2,121,4.272
1,123,5.925
3,122,4.311
2,122,4.061
1,124,2.924
3,123,3.336
2,123,3.039
1,125,2.371
3,124,3.376
2,124,3.059
1,126,2.039
2,125,2.907
3,125,2.373
1,127,3.047
2,126,3.061
3,126,2.153
1,128,3.455
3,127,2.476
2,127,3.49
1,129,2.702
3,128,3.297
2,128,3.124
1,130,3.137
3,129,3.719
2,129,3.533
1,131,2.658
3,130,3.085
2,130,3.104
2,131,3.654
3,131,3.875
1,132,2.868
1,133,1.867
3,132,3.775
2,132,4.24
1,134,2.3850000000000002
3,133,3.0180000000000002
2,133,3.048
2,134,3.247
3,134,3.128
1,135,2.586
1,136,1.972
2,135,4.383
3,135,3.573
1,137,2.887
2,136,3.952
3,136,3.064
1,138,3.744
2,137,4.24
3,137,3.352
1,139,3.279
2,138,3.972
3,138,3.19
3,139,3.39
1,140,3.1430000000000002
2,139,4.158
1,141,2.857
2,140,3.922
3,140,4.05
2,141,4.805
1,142,3.74
3,141,4.375
2,142,0.025
3,142,0.022
2,143,0.025
3,143,0.022
2,144,0.025
3,144,0.022
1,143,0.014
2,145,0.025
3,145,0.022
1,144,0.014
2,146,2.664
3,146,3.842
1,145,1.31
2,147,6.755
3,147,8.547
1,146,5.9
2,148,18.667
1,147,11.981
3,148,16.616
2,149,16.159
1,148,0.024
3,149,16.876
2,150,7.25
1,149,0.316
3,150,0.036000000000000004
2,151,7.25
1,150,0.316
3,151,0.056
2,152,7.25
1,151,1.735
3,152,0.056
2,153,7.477
1,152,1.735
3,153,3.193
2,154,9.003
1,153,4.881
3,154,6.803
2,155,12.663
1,154,8.261000000000001
3,155,7.390000000000001
2,156,15.577
1,155,10.139
3,156,7.488
2,157,17.473
1,156,10.101
3,157,6.94
2,158,17.591
1,157,10.66
3,158,7.09
2,159,18.019000000000002
1,158,10.745000000000001
3,159,6.871
1,159,10.854000000000001
2,160,17.848
3,160,6.73
1,160,10.414
2,161,18.32
3,161,6.628
1,161,9.916
2,162,17.805
3,162,7.07
1,162,10.689
2,163,17.937
3,163,7.131
1,163,11.53
2,164,17.025
1,164,13.634
2,165,17.637
3,164,6.9110000000000005
1,165,11.434000000000001
2,166,18.202
3,165,6.9110000000000005
1,166,11.369
2,167,17.875
3,166,4.724
1,167,11.781
2,168,18.081
3,167,4.261
1,168,11.945
2,169,17.855
3,168,3.895
1,169,11.315
2,170,18.023
3,169,3.604
1,170,12.489
3,170,4.078
2,171,17.893
1,171,10.540000000000001
2,172,17.142
3,171,3.778
1,172,11.318
2,173,16.833000000000002
3,172,4.249
1,173,10.323
2,174,17.629
3,173,3.994
1,174,11.339
2,175,16.753
3,174,3.87
1,175,11.734
2,176,18.21
3,175,4.418
1,176,11.457
3,176,3.011
2,177,18.673000000000002
2,178,16.964
3,177,3.8240000000000003
1,177,11.322000000000001
2,179,17.749
1,178,10.292
3,178,3.977
1,179,10.204
2,180,17.442
3,179,3.779
3,180,3.779
1,180,9.549
2,181,16.240000000000002
1,181,10.129
2,182,17.991
3,181,2.93
1,182,10.089
2,183,17.935
3,182,5.25
1,183,11.365
2,184,16.482
3,183,5.104
3,184,5.607
2,185,16.464
1,184,11.77
1,185,12.968
3,185,5.926
2,186,17.775000000000002
2,187,18.075
3,186,6.651
1,186,13.66
1,187,11.887
2,188,18.208000000000002
3,187,5.059
1,188,11.435
2,189,18.659
3,188,5.631
1,189,10.791
3,189,4.968
2,190,17.42
2,191,17.42
1,190,11.865
3,190,4.781
1,191,11.739
2,192,18.168
3,191,5.402
3,192,5.2410000000000005
2,193,18.057
1,192,12.562
3,193,5.84
1,193,12.854000000000001
2,194,17.926000000000002
3,194,7.640000000000001
2,195,17.924
1,194,12.766
2,196,19.592
1,195,12.612
3,195,8.0
2,197,19.381
1,196,13.040000000000001
3,196,7.766
2,198,20.058
1,197,13.004
3,197,7.215
1,198,13.004
3,198,7.289000000000001
2,199,19.982
2,200,20.103
1,199,13.386000000000001
3,199,7.807
1,200,13.384
2,201,20.679000000000002
3,200,8.838000000000001
1,201,13.911
2,202,20.487000000000002
3,201,7.841
1,202,14.576
2,203,22.17
3,202,7.559
1,203,14.257
3,203,7.462
2,204,21.742
1,204,14.623000000000001
3,204,6.981
2,205,21.527
2,206,20.417
1,205,14.431000000000001
3,205,7.783
1,206,14.431000000000001
2,207,20.657
3,206,8.706
1,207,14.178
2,208,20.490000000000002
3,207,7.5
1,208,14.896
2,209,19.816
3,208,7.48
1,209,13.932
2,210,20.531
3,209,8.135
1,210,15.101
2,211,21.652
3,210,8.122
1,211,14.862
3,211,8.122
2,212,20.999
1,212,15.004
2,213,21.473
3,212,8.824
1,213,15.856
2,214,21.556
3,213,9.998
2,215,22.551000000000002
3,214,9.998
1,214,16.139
1,215,16.536
2,216,22.862000000000002
3,215,8.935
1,216,16.066
2,217,22.824
3,216,9.534
1,217,16.319
2,218,22.612000000000002
3,217,7.772
2,219,22.913
1,218,14.870000000000001
3,218,7.987
1,219,15.621
2,220,22.748
3,219,7.987
1,220,15.262
3,220,8.787
2,221,22.929000000000002
1,221,15.263
2,222,21.583000000000002
3,221,9.453
1,222,15.403
2,223,21.756
3,222,8.653
1,223,16.084
2,224,24.89
3,223,7.9910000000000005
1,224,14.848
2,225,22.786
3,224,7.186
1,225,14.797
2,226,20.846
3,225,7.518
1,226,14.491
2,227,21.173000000000002
3,226,8.258000000000001
1,227,14.44
2,228,21.047
3,227,8.329
1,228,14.530000000000001
3,228,8.075
2,229,20.909
1,229,14.530000000000001
2,230,20.965
3,229,6.954
2,231,21.351
3,230,7.503
1,230,13.549
2,232,20.733
3,231,7.409
1,231,13.549
2,233,20.029
3,232,8.445
1,232,13.699
2,234,19.847
1,233,15.249
3,233,8.599
2,235,20.846
1,234,13.882
3,234,8.824
2,236,21.95
3,235,8.824
1,235,14.27
1,236,14.825000000000001
2,237,22.203
3,236,8.294
1,237,15.105
2,238,22.383
3,237,8.294
2,239,22.063
1,238,14.777000000000001
3,238,9.577
2,240,22.442
3,239,8.964
1,239,15.054
2,241,22.835
1,240,16.728
3,240,9.584
2,242,22.835
1,241,17.164
3,241,9.641
1,242,17.376
2,243,22.909
3,242,10.236
1,243,15.655000000000001
2,244,22.909
3,243,10.421
2,245,23.144000000000002
3,244,10.818
1,244,16.197
1,245,16.44
2,246,23.465
3,245,0.022
1,246,17.295
2,247,23.841
3,246,0.186
1,247,16.863
2,248,23.297
3,247,0.40700000000000003
1,248,16.666
2,249,23.164
3,248,0.029
1,249,18.263
2,250,23.716
3,249,0.596
1,250,17.21
3,250,0.033
2,251,22.767
1,251,16.995
2,252,23.041
3,251,0.709
3,252,0.622
1,252,16.547
2,253,22.905
3,253,0.8240000000000001
2,254,23.013
1,253,17.128
2,255,23.013
1,254,17.444
3,254,1.322
1,255,16.409
2,256,22.551000000000002
3,255,0.907
1,256,15.658
3,256,1.213
2,257,22.768
1,257,16.838
3,257,1.873
2,258,21.255
1,258,17.465
2,259,23.052
3,258,1.923
1,259,19.073
2,260,23.822
3,259,1.044
1,260,17.476
3,260,0.909
2,261,23.833000000000002
2,262,22.914
3,261,17.161
1,261,19.208000000000002
3,262,0.06
2,263,23.314
1,262,2.363
2,264,23.314
3,263,0.047
1,263,2.96
2,265,9.236
3,264,0.053
1,264,1.499
1,265,2.58
2,266,9.145
3,265,0.34800000000000003
2,267,9.373
3,266,0.6930000000000001
1,266,3.415
2,268,9.176
3,267,1.964
1,267,2.952
1,268,3.525
2,269,10.377
3,268,1.582
1,269,4.678
2,270,11.339
3,269,1.2770000000000001
1,270,4.08
3,270,0.805
2,271,10.403
2,272,10.403
3,271,1.2790000000000001
1,271,4.033
2,273,9.867
3,272,1.56
1,272,2.914
3,273,1.556
2,274,9.13
1,273,3.245
2,275,10.678
3,274,2.076
1,274,3.521
1,275,1.547
3,275,0.022
2,276,10.579
2,277,10.441
3,276,2.58
1,276,4.347
2,278,9.757
3,277,1.298
1,277,3.318
2,279,9.674
3,278,1.411
1,278,3.501
3,279,2.661
2,280,10.433
1,279,3.048
2,281,10.455
3,280,2.45
1,280,2.717
3,281,1.8800000000000001
1,281,3.511
2,282,10.894
3,282,2.464
1,282,3.923
2,283,10.792
2,284,11.608
1,283,4.146
3,283,2.492
1,284,4.146
2,285,10.591000000000001
3,284,1.85
1,285,4.1610000000000005
2,286,10.475
3,285,1.952
1,286,4.787
2,287,11.688
3,286,1.817
1,287,4.787
2,288,11.089
3,287,1.6420000000000001
1,288,4.684
3,288,1.6520000000000001
2,289,11.067
1,289,4.117
2,290,11.726
3,289,1.808
1,290,4.117
2,291,11.795
3,290,1.5050000000000001
1,291,3.974
2,292,10.283
3,291,2.062
1,292,5.2860000000000005
2,293,10.442
3,292,2.71
1,293,5.2860000000000005
2,294,10.883000000000001
3,293,2.548
1,294,4.339
2,295,11.992
3,294,1.844
1,295,4.921
2,296,10.688
3,295,2.75
1,296,5.641
2,297,11.17
3,296,3.095
1,297,5.859
2,298,12.387
3,297,3.608
1,298,6.347
2,299,12.462
3,298,3.447
1,299,6.267
2,300,13.111
3,299,3.748
1,300,6.598
2,301,13.062
3,300,3.516
1,301,6.602
2,302,13.469
3,301,3.341
1,302,6.5
2,303,12.86
3,302,3.273
1,303,6.1000000000000005
2,304,12.381
3,303,3.588
1,304,6.313
2,305,12.41
3,304,3.774
1,305,6.946
2,306,12.992
3,305,3.3850000000000002
1,306,6.392
2,307,13.341000000000001
3,306,3.4530000000000003
1,307,6.634
2,308,13.551
3,307,2.931
1,308,6.4110000000000005
2,309,13.512
3,308,3.116
1,309,5.9430000000000005
2,310,13.599
3,309,3.265
1,310,6.0760000000000005
2,311,14.249
3,310,3.334
1,311,5.64
2,312,12.822000000000001
3,311,2.42
1,312,5.296
2,313,11.858
3,312,3.133
1,313,6.086
2,314,11.813
3,313,3.427
1,314,6.173
2,315,12.293000000000001
3,314,3.673
1,315,6.575
3,315,3.958
2,316,12.68
1,316,6.898000000000001
2,317,12.790000000000001
3,316,4.311
2,318,13.411
1,317,7.013
3,317,3.992
1,318,6.96
2,319,13.002
3,318,3.617
1,319,5.976
2,320,13.331
3,319,3.575
1,320,7.42
2,321,13.206
3,320,3.595
1,321,7.949
3,321,3.94
2,322,12.915000000000001
1,322,6.907
3,322,4.104
2,323,12.829
1,323,6.732
3,323,4.236
